tempo;ocupacao_linhas;prob_bloqueio;trafego_oferecido;trafego_transportado;total_chamadas;bloqueadas
102.825;1;0;1.59834;1.59834;1;0
111.647;2;0;1.95224;1.95224;2;0
114.913;3;0;2.80962;2.80962;3;0
126.209;4;0;2.71265;2.71265;4;0
127.899;5;0;4.04358;4.04358;5;0
132.394;6;0;4.16443;4.16443;6;0
134.734;7;0;4.9759;4.9759;7;0
144.986;8;0;6.27416;6.27416;8;0
209.613;6;0;5.25343;5.25343;9;0
225.142;6;0;4.89622;4.89622;10;0
252.778;6;0;5.20272;5.20272;11;0
265.211;6;0;6.7387;6.7387;12;0
347.776;5;0;5.32053;5.32053;13;0
362.748;6;0;5.24094;5.24094;14;0
371.364;7;0;5.60252;5.60252;15;0
379.04;8;0;5.69927;5.69927;16;0
385.362;8;0;6.34897;6.34897;17;0
401.42;8;0;6.15583;6.15583;18;0
409.083;9;0;6.20043;6.20043;19;0
412.466;9;0;6.18168;6.18168;20;0
430.889;7;0;5.92784;5.92784;21;0
435.801;7;0;6.0027;6.0027;22;0
436.989;8;0;6.16305;6.16305;23;0
466.982;7;0;5.79895;5.79895;24;0
489.24;6;0;5.58601;5.58601;25;0
513.279;6;0;5.32501;5.32501;26;0
515.895;4;0;5.39335;5.39335;27;0
515.899;5;0;5.64984;5.64984;28;0
530.29;6;0;5.52936;5.52936;29;0
548.952;6;0;5.51964;5.51964;30;0
606.498;5;0;5.06019;5.06019;31;0
643.101;6;0;5.50834;5.50834;32;0
687.387;3;0;5.3408;5.3408;33;0
688.69;4;0;5.40782;5.40782;34;0
708.669;5;0;5.28036;5.28036;35;0
714.352;6;0;5.33968;5.33968;36;0
719.267;7;0;5.34434;5.34434;37;0
743.621;5;0;5.27434;5.27434;38;0
755.287;5;0;5.23194;5.23194;39;0
756.09;6;0;5.29416;5.29416;40;0
790.291;5;0;5.10401;5.10401;41;0
804.966;6;0;5.08027;5.08027;42;0
812.597;6;0;5.26475;5.26475;43;0
828.257;4;0;5.26847;5.26847;44;0
851.199;5;0;5.20396;5.20396;45;0
854.576;6;0;5.21681;5.21681;46;0
854.731;7;0;5.42388;5.42388;47;0
871.079;7;0;5.40354;5.40354;48;0
877.534;8;0;5.40448;5.40448;49;0
919.936;5;0;5.36343;5.36343;50;0
930.452;6;0;5.51291;5.51291;51;0
931.248;7;0;5.5476;5.5476;52;0
932.782;8;0;5.62982;5.62982;53;0
951.149;8;0;5.52467;5.52467;54;0
991.978;7;0;5.48638;5.48638;55;0
