tempo;L(t);W_wait_avg_s;p_util;OperatorsBusyAvg;Arrivals;Blocked;Served;MaxOperatorsBusy;CarriedErlangs
0;0;0;0.153705;7.53154;19;0;19;15;7.53154
60;0;0;0.368925;18.0773;15;0;15;22;18.0773
120;0;0;0.459113;22.4965;27;0;27;32;22.4965
180;0;0;0.625726;30.6606;24;0;24;35;30.6606
240;0;0;0.646902;31.6982;25;0;25;35;31.6982
300;0;0;0.711699;34.8733;28;0;28;43;34.8733
360;0;0;0.927131;45.4294;23;0;23;48;45.4294
420;0;0;0.889096;43.5657;27;0;27;47;43.5657
480;0.581591;1.12566;0.960839;47.0811;31;0;31;49;47.0811
540;1.99216;4.26891;0.995698;48.7892;32;4;28;49;48.7892
600;5.36605;10.0613;1;49;34;2;32;49;49
660;0.110881;0.302402;0.939556;46.0382;22;0;22;49;46.0382
720;0;0;0.841251;41.2213;20;0;20;45;41.2213
780;0;0;0.800585;39.2287;21;0;21;45;39.2287
840;0;0;0.804594;39.4251;24;0;24;43;39.4251
900;0;0;0.747681;36.6364;20;0;20;41;36.6364
960;0;0;0.764716;37.4711;24;0;24;41;37.4711
1020;0;0;0.768081;37.636;25;0;25;41;37.636
1080;0;0;0.740762;36.2973;21;0;21;40;36.2973
1140;0;0;0.686282;33.6278;20;0;20;40;33.6278
1200;0;0;0.700603;34.3295;19;0;19;37;34.3295
1260;0;0;0.736257;36.0766;26;0;26;41;36.0766
1320;0;0;0.596723;29.2394;21;0;21;36;29.2394
1380;0;0;0.695433;34.0762;29;0;29;38;34.0762
1440;0;0;0.75635;37.0611;24;0;24;42;37.0611
1500;0;0;0.797597;39.0823;23;0;23;44;39.0823
1560;0;0;0.83001;40.6705;30;0;30;45;40.6705
1620;0.122733;0.216588;0.89807;44.0054;34;0;34;49;44.0054
1680;0.0152841;0.0382102;0.933249;45.7292;24;0;24;49;45.7292
1740;0;0;0.816486;40.0078;18;0;18;46;40.0078
1800;0;0;0.771737;37.8151;20;0;20;40;37.8151
1860;1.08578;1.71439;0.800973;39.2477;38;0;38;49;39.2477
1920;1.39696;4.19087;0.984352;48.2332;20;0;20;49;48.2332
1980;3.31305;6.85459;0.998358;48.9195;29;0;29;49;48.9195
2040;2.8129;6.75097;0.998109;48.9073;26;1;25;49;48.9073
2100;0.468581;1.3388;0.969537;47.5073;21;0;21;49;47.5073
2160;0;0;0.876267;42.9371;30;0;30;48;42.9371
2220;0;0;0.912528;44.7139;29;0;29;47;44.7139
2280;0;0;0.912341;44.7047;27;0;27;49;44.7047
2340;0.0283561;0.0810174;0.942494;46.1822;21;0;21;49;46.1822
2400;0;0;0.841323;41.2248;20;0;20;48;41.2248
2460;0;0;0.747992;36.6516;24;0;24;43;36.6516
2520;0;0;0.875611;42.905;26;0;26;48;42.905
2580;0;0;0.856204;41.954;25;0;25;46;41.954
2640;0.149564;0.358954;0.933746;45.7535;25;0;25;49;45.7535
2700;1.14534;2.36967;0.952401;46.6676;29;0;29;49;46.6676
2760;4.84376;9.68751;0.999975;48.9988;33;3;30;49;48.9988
2820;6.84533;14.6686;1;49;33;5;28;49;49
2880;3.33999;6.26248;1;49;32;0;32;49;49
2940;4.5448;11.856;0.999875;48.9939;23;0;23;49;48.9939
3000;12.698;27.2101;1;49;37;9;28;49;49
3060;3.44011;11.467;0.998807;48.9416;19;1;18;49;48.9416
3120;1.62326;3.1418;0.99429;48.7202;31;0;31;49;48.7202
3180;0;0;0.885493;43.3892;23;0;23;49;43.3892
3240;0.187692;0.375384;0.945048;46.3074;32;2;30;49;46.3074
3300;0.0363555;0.0681665;0.919425;45.0518;35;3;32;49;45.0518
3360;0;0;0.873426;42.7979;27;0;27;45;42.7979
3420;0;0;0.782774;38.3559;22;0;22;41;38.3559
3480;0;0;0.748331;36.6682;21;0;21;40;36.6682
3540;0;0;0.697781;34.1913;32;0;32;45;34.1913
3600;0;0;0.745531;36.531;23;0;23;43;36.531
3660;0;0;0.837246;41.0251;24;0;24;45;41.0251
3720;0;0;0.916897;44.9279;24;0;24;49;44.9279
3780;0;0;0.888951;43.5586;19;0;19;46;43.5586
3840;0.0169833;0.0308788;0.932127;45.6742;33;0;33;49;45.6742
3900;0;0;0.908438;44.5135;27;0;27;49;44.5135
3960;0.596012;1.23313;0.960251;47.0523;29;0;29;49;47.0523
4020;0;0;0.835218;40.9257;15;0;15;44;40.9257
4080;0;0;0.762581;37.3664;24;0;24;42;37.3664
4140;0;0;0.818916;40.1269;21;0;21;46;40.1269
4200;0;0;0.768221;37.6428;29;0;29;42;37.6428
4260;0;0;0.810163;39.698;31;0;31;46;39.698
4320;0;0;0.852541;41.7745;28;0;28;48;41.7745
4380;0;0;0.820028;40.1814;26;0;26;44;40.1814
4440;0;0;0.780781;38.2583;22;0;22;43;38.2583
4500;0;0;0.639512;31.3361;24;0;24;36;31.3361
4560;0;0;0.806966;39.5413;32;0;32;48;39.5413
4620;0;0;0.899703;44.0855;28;0;28;48;44.0855
4680;0;0;0.819286;40.145;23;0;23;48;40.145
4740;0;0;0.714844;35.0274;22;0;22;38;35.0274
4800;0;0;0.702975;34.4458;33;0;33;40;34.4458
4860;0;0;0.811831;39.7797;24;0;24;44;39.7797
4920;0;0;0.833192;40.8264;22;0;22;45;40.8264
4980;0;0;0.745479;36.5285;22;0;22;45;36.5285
5040;0;0;0.641765;31.4465;26;0;26;36;31.4465
5100;0;0;0.602796;29.537;23;0;23;35;29.537
5160;0;0;0.677198;33.1827;18;0;18;35;33.1827
5220;0;0;0.545252;26.7173;14;0;14;35;26.7173
5280;0;0;0.528749;25.9087;26;0;26;33;25.9087
5340;0;0;0.732871;35.9107;23;0;23;39;35.9107
5400;0;0;0.624568;30.6039;19;0;19;36;30.6039
5460;0;0;0.597355;29.2704;25;0;25;33;29.2704
5520;0;0;0.657747;32.2296;19;0;19;36;32.2296
5580;0;0;0.644666;31.5886;26;0;26;38;31.5886
5640;0.0128532;0.0220341;0.854437;41.8674;35;0;35;49;41.8674
5700;2.73948;6.32187;0.988832;48.4528;26;0;26;49;48.4528
5760;1.94554;4.02526;0.996914;48.8488;29;0;29;49;48.8488
5820;0;0;0.907892;44.4867;21;0;21;48;44.4867
5880;0.0237601;0.0548311;0.909551;44.568;26;0;26;49;44.568
5940;0;0;0.832298;40.7826;24;0;24;46;40.7826
6000;0;0;0.736075;36.0677;24;0;24;43;36.0677
6060;0;0;0.816628;40.0148;22;0;22;46;40.0148
6120;0;0;0.685881;33.6082;16;0;16;37;33.6082
6180;0;0;0.822004;40.2782;25;0;25;46;40.2782
6240;0;0;0.827721;40.5583;25;0;25;46;40.5583
6300;0;0;0.862899;42.2821;27;0;27;47;42.2821
6360;0;0;0.922181;45.1869;36;0;36;48;45.1869
6420;0.00350852;0.00751826;0.935136;45.8217;28;0;28;49;45.8217
6480;0.993331;2.05517;0.953861;46.7392;29;0;29;49;46.7392
6540;3.18693;5.79443;1;49;33;0;33;49;49
6600;0.569834;1.3676;0.959619;47.0213;25;0;25;49;47.0213
6660;0;0;0.931559;45.6464;25;0;25;49;45.6464
6720;0.155168;0.344818;0.935001;45.8151;27;0;27;49;45.8151
6780;0;0;0.851715;41.734;26;0;26;47;41.734
6840;0.131977;0.273055;0.884287;43.3301;29;0;29;49;43.3301
6900;0;0;0.806103;39.499;19;0;19;44;39.499
6960;0.0784674;0.130779;0.899054;44.0536;36;0;36;49;44.0536
7020;0.788734;1.69014;0.987604;48.3926;28;0;28;49;48.3926
7080;3.05047;5.38319;0.996697;48.8382;34;0;34;49;48.8382
7140;2.25833;4.83927;0.968852;47.4737;35;7;28;49;47.4737
7200;0.37971;0.8438;0.960528;47.0659;27;0;27;49;47.0659
7260;7.02941;12.4048;0.999942;48.9972;34;0;34;49;48.9972
7320;8.40207;18.6713;1;49;31;4;27;49;49
7380;1.95814;4.89535;0.995763;48.7924;24;0;24;49;48.7924
7440;0.0447863;0.149288;0.850441;41.6716;18;0;18;49;41.6716
7500;0;0;0.769706;37.7156;28;0;28;43;37.7156
7560;0;0;0.745801;36.5442;24;0;24;40;36.5442
7620;0;0;0.668778;32.7701;21;0;21;37;32.7701
7680;0;0;0.583625;28.5976;21;0;21;33;28.5976
7740;0;0;0.699007;34.2513;27;0;27;37;34.2513
7800;0;0;0.650894;31.8938;22;0;22;36;31.8938
7860;0;0;0.671463;32.9017;23;0;23;36;32.9017
7920;0;0;0.75434;36.9627;25;0;25;43;36.9627
7980;0;0;0.768482;37.6556;31;0;31;42;37.6556
8040;0;0;0.750148;36.7572;24;0;24;40;36.7572
8100;0;0;0.736183;36.073;33;0;33;43;36.073
8160;0;0;0.917786;44.9715;25;0;25;49;44.9715
8220;0.0362875;0.0777589;0.922927;45.2234;28;0;28;49;45.2234
8280;0.307676;0.738422;0.901179;44.1578;25;0;25;49;44.1578
8340;0.00748039;0.0204011;0.905067;44.3483;22;0;22;49;44.3483
8400;0;0;0.765616;37.5152;19;0;19;41;37.5152
8460;0;0;0.654115;32.0516;17;0;17;36;32.0516
8520;0;0;0.69769;34.1868;29;0;29;40;34.1868
8580;0.10097;0.242328;0.900104;44.1051;25;0;25;49;44.1051
8640;0;0;0.865254;42.3974;23;0;23;48;42.3974
8700;1.24318;2.26034;0.92957;45.5489;33;0;33;49;45.5489
8760;7.15664;13.8516;1;49;35;4;31;49;49
8820;8.21052;17.594;1;49;34;6;28;49;49
8880;6.60529;17.2312;1;49;27;4;23;49;49
8940;5.03326;13.1302;1;49;25;2;23;49;49
9000;0.854775;1.83166;0.981175;48.0776;28;0;28;49;48.0776
9060;3.14965;8.58995;1;49;22;0;22;49;49
9120;0.596423;1.32538;0.981992;48.1176;27;0;27;49;48.1176
9180;0.0245428;0.0545395;0.956466;46.8668;27;0;27;49;46.8668
9240;0.424987;0.910685;0.946453;46.3762;28;0;28;49;46.3762
9300;0;0;0.895224;43.866;26;0;26;47;43.866
9360;0;0;0.905992;44.3936;21;0;21;49;44.3936
9420;0;0;0.76564;37.5163;34;0;34;43;37.5163
9480;0;0;0.821026;40.2303;20;0;20;44;40.2303
9540;0;0;0.800453;39.2222;28;0;28;44;39.2222
9600;0;0;0.9239;45.2711;33;0;33;49;45.2711
9660;5.78514;10.2091;1;49;34;0;34;49;49
9720;2.13855;5.8324;0.969019;47.482;22;0;22;49;47.482
9780;0;0;0.7823;38.3327;17;0;17;42;38.3327
9840;3.64413;7.28826;0.959453;47.0132;30;0;30;49;47.0132
9900;12.2825;26.3197;1;49;35;7;28;49;49
9960;6.59437;12.3644;1;49;34;2;32;49;49
10020;2.37578;6.78793;0.999201;48.9609;21;0;21;49;48.9609
10080;0;0;0.844908;41.4005;22;0;22;48;41.4005
10140;0.0145428;0.0323174;0.936623;45.8945;27;0;27;49;45.8945
10200;0;0;0.787893;38.6068;21;0;21;44;38.6068
10260;0;0;0.654972;32.0936;22;0;22;35;32.0936
10320;0;0;0.746428;36.575;30;0;30;41;36.575
10380;0;0;0.711294;34.8534;24;0;24;38;34.8534
10440;0;0;0.797825;39.0934;25;0;25;48;39.0934
10500;0;0;0.850277;41.6636;27;0;27;49;41.6636
10560;0.168666;0.326451;0.903917;44.2919;31;0;31;49;44.2919
