tempo;L(t);W_wait_avg_s;p_util;OperatorsBusyAvg;Arrivals;Blocked;Served;MaxOperatorsBusy;CarriedErlangs
0;0;0;0.196977;1.37884;4;0;4;4;1.37884
60;0;0;0.544156;3.80909;5;0;5;6;3.80909
120;0;0;0.60379;4.22653;3;0;3;6;4.22653
180;0;0;0.736553;5.15587;2;0;2;6;5.15587
240;0;0;0.669628;4.6874;6;0;6;7;4.6874
300;8.09269;69.3659;1;7;7;0;7;7;7
360;4.48564;89.7128;1;7;3;0;3;7;7
420;1.92419;57.7257;1;7;2;0;2;7;7
480;4.06122;60.9182;1;7;4;0;4;7;7
540;9.92252;119.07;1;7;5;0;5;7;7
600;7.83605;94.0326;1;7;5;0;5;7;7
660;5.35086;107.017;1;7;3;0;3;7;7
720;1.53907;92.344;1;7;1;0;1;7;7
780;7.48533;89.8239;1;7;5;0;5;7;7
840;4.64505;69.6757;1;7;4;0;4;7;7
900;0.967645;29.0293;1;7;2;0;2;7;7
960;3.32649;39.9178;1;7;5;0;5;7;7
1020;0.482625;14.4787;0.889375;6.22563;2;0;2;7;6.22563
1080;0.265118;3.18141;0.891151;6.23806;5;0;5;7;6.23806
1140;0.476269;14.2881;0.911436;6.38005;2;0;2;7;6.38005
1200;0.785983;6.737;0.747641;5.23349;7;0;7;7;5.23349
1260;15.987;119.902;1;7;8;0;8;7;7
1320;9.95584;149.338;1;7;4;0;4;7;7
1380;6.9166;138.332;1;7;3;0;3;7;7
1440;7.35099;110.265;1;7;4;0;4;7;7
1500;9.88444;118.613;1;7;5;0;5;7;7
1560;8.52737;127.911;1;7;4;0;4;7;7
1620;19.7593;237.111;1;7;5;0;5;7;7
1680;18.4331;221.197;1;7;5;0;5;7;7
1740;10.3335;206.669;1;7;3;0;3;7;7
1800;11.6651;174.977;1;7;4;0;4;7;7
1860;9.94701;149.205;1;7;4;0;4;7;7
1920;3.02754;90.8263;1;7;2;0;2;7;7
1980;4.10436;82.0872;1;7;3;0;3;7;7
2040;3.70051;74.0102;1;7;3;0;3;7;7
2100;12.6888;126.888;1;7;6;0;6;7;7
2160;13.0492;156.591;1;7;5;0;5;7;7
2220;1.85432;111.259;1;7;1;0;1;7;7
2280;11.2004;96.0031;1;7;7;0;7;7;7
2340;2.6685;80.055;1;7;2;0;2;7;7
2400;6.27102;94.0654;1;7;4;0;4;7;7
2460;6.82633;136.527;1;7;3;0;3;7;7
2520;5.52703;110.541;1;7;3;0;3;7;7
2580;2.83744;56.7488;1;7;3;0;3;7;7
2640;2.59957;38.9936;1;7;4;0;4;7;7
2700;0.82551;49.5306;1;7;1;0;1;7;7
2760;2.03401;24.4081;1;7;5;0;5;7;7
2820;0.570917;11.4183;1;7;3;0;3;7;7
2880;2.85373;42.806;1;7;4;0;4;7;7
2940;2.08553;41.7105;1;7;3;0;3;7;7
3000;4.16832;50.0199;1;7;5;0;5;7;7
3060;1.05064;31.5191;1;7;2;0;2;7;7
3120;0.342216;5.13323;0.975053;6.82537;4;0;4;7;6.82537
3180;1.4341;21.5115;1;7;4;0;4;7;7
3240;2.51969;21.5973;1;7;7;0;7;7;7
3300;3.45781;51.8672;1;7;4;0;4;7;7
3360;4.77277;71.5915;1;7;4;0;4;7;7
3420;2.38543;47.7087;1;7;3;0;3;7;7
3480;0.214205;12.8523;0.999885;6.99919;1;0;1;7;6.99919
3540;0.498776;5.98531;0.949489;6.64642;5;0;5;7;6.64642
3600;0;0;0.820463;5.74324;5;0;5;7;5.74324
3660;0;0;0.789877;5.52914;4;0;4;7;5.52914
3720;0.732489;14.6498;0.920624;6.44437;3;0;3;7;6.44437
3780;1.19851;17.9776;1;7;4;0;4;7;7
3840;1.82007;21.8409;1;7;5;0;5;7;7
3900;2.21123;22.1123;1;7;6;0;6;7;7
3960;0.239111;7.17334;0.849834;5.94884;2;0;2;7;5.94884
4020;0;0;0.394195;2.75937;2;0;2;4;2.75937
4080;0;0;0.775927;5.43149;6;0;6;7;5.43149
4140;3.33765;28.6085;0.922914;6.4604;7;0;7;7;6.4604
4200;2.0081;60.2431;1;7;2;0;2;7;7
4260;12.1062;121.062;1;7;6;0;6;7;7
4320;7.37888;147.578;1;7;3;0;3;7;7
4380;9.68965;116.276;1;7;5;0;5;7;7
4440;1.21719;73.0312;1;7;1;0;1;7;7
4500;0.592979;35.5787;1;7;1;0;1;7;7
4560;6.59579;49.4684;1;7;8;0;8;7;7
4620;9.85915;84.507;1;7;7;0;7;7;7
4680;3.68861;73.7721;1;7;3;0;3;7;7
4740;3.95932;39.5932;1;7;6;0;6;7;7
4800;3.29999;49.4999;1;7;4;0;4;7;7
4860;2.74048;41.1071;1;7;4;0;4;7;7
4920;1.7642;52.9261;1;7;2;0;2;7;7
4980;0.398158;5.97237;0.977409;6.84187;4;0;4;7;6.84187
5040;0.00712384;0.085486;0.8243;5.7701;5;0;5;7;5.7701
5100;1.86259;15.9651;0.830465;5.81326;7;0;7;7;5.81326
